zip,car_rte,zip4,walk_seq,street_num,street_pre_dir,street_name,street_post_dir,street_suffix,unit_type,unit_num,vacant_dummy,throwback_dummy,seasonal_dummy,seasonal_start,seasonal_end,dnd_dummy,college_dummy,college_startchar,college_endchar,address_style,simplify_count,drop_delivery,delivery_type,delivery_point_barcode,delivery_point_check,update_datechar,release_datechar,release_datechar2,county,county_name,city,state_abbrev,state,owgm,record_type,advo_key,address_type,del_point_type
01001,B013,6028,10000,1028,,PO BOX,,,,,Y,N,N,,,N,N,,,C,0,N,A,28,2,2014-10-24,2014-12-15,,13,HAMPDEN,AGAWAM,MA,25,N,P,55333994,9,E
01001,C001,2862,2460000,77,,RIVIERA,,DR,,,N,N,N,,,N,N,,,C,0,N,A,77,6,2014-09-26,2014-12-15,,13,HAMPDEN,AGAWAM,MA,25,N,S,69361094,1,C
01001,C007,2165,3930000,265,,COOPER,,ST,,,N,N,N,,,N,N,,,C,0,N,A,65,3,2014-11-21,2014-12-15,,13,HAMPDEN,AGAWAM,MA,25,N,S,69379815,1,A
01002,C002,2265,970000,6,,UNIVERSITY,,DR,STE,203,N,N,N,,,N,N,,,C,0,N,B,53,4,2014-11-28,2014-12-15,,15,HAMPSHIRE,AMHERST,MA,25,N,H,149491718,0,C
01002,C002,2561,5260000,372,,NORTHAMPTON,,RD,APT,C,N,N,N,,,N,N,,,C,0,N,A,75,1,2014-11-28,2014-12-15,,15,HAMPSHIRE,AMHERST,MA,25,N,H,94135340,2,B
01002,C009,1014,4860000,86,,COWLS,,RD,,,N,N,N,,,N,N,,,C,0,N,A,86,7,2014-11-07,2014-12-15,,15,HAMPSHIRE,AMHERST,MA,25,N,S,94164670,1,A
01002,C009,4013,5140000,120,,PULPIT HILL,,RD,UNIT,5,N,N,N,,,N,N,,,C,0,N,A,5,4,2014-11-07,2014-12-15,,15,HAMPSHIRE,AMHERST,MA,25,N,H,94153819,2,C
01002,C010,2753,1900000,98,,ROLLING GREEN,,DR,,,N,N,N,,,N,N,,,C,0,N,A,98,3,2014-11-07,2014-12-15,,15,HAMPSHIRE,AMHERST,MA,25,N,S,94154822,1,B
01002,R004,9762,2190000,9,,COUNTRY,,LN,,,N,N,N,,,N,N,,,C,0,N,A,9,4,2014-08-08,2014-12-15,,15,HAMPSHIRE,AMHERST,MA,25,N,S,94175018,1,A
01002,R004,1625,5150000,171,,AUBINWOOD,,RD,,,N,N,N,,,N,N,,,C,0,N,A,71,5,2014-08-08,2014-12-15,,15,HAMPSHIRE,AMHERST,MA,25,N,S,94175574,1,A
01002,R005,3347,4050000,23,,MCINTOSH,,DR,,,N,N,N,,,N,N,,,C,0,N,A,23,5,2014-10-24,2014-12-15,,15,HAMPSHIRE,AMHERST,MA,25,N,S,94176753,1,D
01002,R008,9603,2820000,68,,SCHOOLHOUSE,,RD,,,N,N,N,,,N,N,,,C,0,N,A,68,5,2014-08-15,2014-12-15,,15,HAMPSHIRE,AMHERST,MA,25,N,S,94171943,1,A
01004,B019,2441,460000,2441,,PO BOX,,,,,Y,N,N,,,N,N,,,C,0,N,A,41,9,2014-11-07,2014-12-15,,15,HAMPSHIRE,AMHERST,MA,25,N,P,55355887,9,E
01005,B007,0729,610000,729,,PO BOX,,,,,Y,N,N,,,N,N,,,C,0,N,A,29,5,2014-10-10,2014-12-15,,27,WORCESTER,BARRE,MA,25,N,P,55470742,9,E
01005,R003,9416,1690000,999,,OLD COLDBROOK,,RD,,,N,N,N,,,N,N,,,C,0,N,A,99,6,2014-11-14,2014-12-15,,27,WORCESTER,BARRE,MA,25,N,S,55476445,1,A
01007,B005,0546,540000,546,,PO BOX,,,,,N,N,N,,,N,N,,,C,0,N,A,46,7,2014-11-21,2014-12-15,,15,HAMPSHIRE,BELCHERTOWN,MA,25,N,P,55499836,9,E
01007,R001,1279,220000,120,,FEDERAL,,ST,UNIT,6,N,N,N,,,N,N,,,C,0,N,B,6,7,2014-11-21,2014-12-15,,15,HAMPSHIRE,BELCHERTOWN,MA,25,N,H,177817751,0,A
01007,R001,9362,2300000,1131,,FEDERAL,,ST,,,N,N,N,,,N,N,,,C,0,N,A,31,8,2014-11-21,2014-12-15,,15,HAMPSHIRE,BELCHERTOWN,MA,25,N,S,55501317,1,A
01007,R001,9753,4650000,132,,WILSON,,RD,,,N,N,N,,,N,N,,,C,0,N,A,32,3,2014-11-21,2014-12-15,,15,HAMPSHIRE,BELCHERTOWN,MA,25,N,S,55501535,1,A
01007,R002,9607,5250000,467,,SOUTH,,ST,,,N,N,N,,,N,N,,,C,0,N,A,67,7,2014-11-28,2014-12-15,,15,HAMPSHIRE,BELCHERTOWN,MA,25,N,S,55502616,1,A
01007,R003,9563,3940000,291,,FRANKLIN,,ST,,,N,N,N,,,N,N,,,C,0,N,A,91,9,2014-11-28,2014-12-15,,15,HAMPSHIRE,BELCHERTOWN,MA,25,N,S,55504263,1,A
01007,R005,9040,270000,300,,SPRINGFIELD,,RD,,,N,N,N,,,N,N,,,C,0,N,A,0,9,2014-11-14,2014-12-15,,15,HAMPSHIRE,BELCHERTOWN,MA,25,N,S,169841588,1,A
01007,R009,8201,1170000,55,N,MAIN,,ST,APT,50,N,N,N,,,N,N,,,C,0,N,A,50,6,2014-10-17,2014-12-15,,15,HAMPSHIRE,BELCHERTOWN,MA,25,N,H,147330019,2,B
01009,B003,0336,780000,336,,PO BOX,,,,,Y,N,N,,,N,N,,,C,0,N,A,36,9,2014-11-21,2014-12-15,,13,HAMPDEN,BONDSVILLE,MA,25,Y,P,55563896,9,E
01009,B007,0826,1060000,826,,PO BOX,,,,,N,N,N,,,N,N,,,C,0,N,A,26,6,2014-11-14,2014-12-15,,13,HAMPDEN,BONDSVILLE,MA,25,Y,P,55564769,9,E
01010,R001,9619,3090000,102A,,TOWER HILL,,RD,,,N,N,N,,,N,N,,,C,0,N,A,2,1,2014-11-21,2014-12-15,,13,HAMPDEN,BRIMFIELD,MA,25,N,S,169479021,1,A
01010,R002,9799,240000,216,E,HILL,,RD,,,N,N,N,,,N,N,,,C,0,N,A,16,7,2014-10-31,2014-12-15,,13,HAMPDEN,BRIMFIELD,MA,25,N,S,155329676,1,A
01013,C003,1270,3520000,165,,FRONT,,ST,STE,D12,Y,N,N,,,N,N,,,C,0,N,B,42,9,2014-10-10,2014-12-15,,13,HAMPDEN,CHICOPEE,MA,25,N,H,95514832,0,B
01013,C006,2126,1250000,162,,PENDEXTER,,AVE,,,N,N,N,,,N,N,,,C,0,N,A,62,6,2014-07-18,2014-12-15,,13,HAMPDEN,CHICOPEE,MA,25,N,S,95539484,1,D
01013,C007,2810,2490000,145,,DAVENPORT,,ST,,,N,N,N,,,N,N,,,C,0,N,A,45,5,2014-07-18,2014-12-15,,13,HAMPDEN,CHICOPEE,MA,25,N,S,95522345,1,D
01013,C009,1801,10000,720,,MEADOW,,ST,,,N,N,N,,,N,N,,,C,0,N,B,20,3,2014-07-18,2014-12-15,,13,HAMPDEN,CHICOPEE,MA,25,N,S,95525571,0,D
01013,C010,3605,3790000,47,,GRAHAM,,DR,,,N,N,N,,,N,N,,,C,0,N,A,47,0,2014-07-18,2014-12-15,,13,HAMPDEN,CHICOPEE,MA,25,N,S,95533735,1,D
01013,C015,2772,3460000,630,,CHICOPEE,,ST,APT,107,N,N,N,,,N,N,,,C,0,N,A,32,2,2014-09-26,2014-12-15,,13,HAMPDEN,CHICOPEE,MA,25,N,H,95542081,2,C
01013,C058,1117,5210000,19,,RAYMOND,,AVE,,,N,N,N,,,N,N,,,C,0,N,A,19,5,2014-09-19,2014-12-15,,13,HAMPDEN,CHICOPEE,MA,25,N,S,95521254,1,D
01020,C022,2604,130000,340,,BROADWAY,,ST,APT,1,N,N,N,,,N,N,,,C,0,N,A,40,1,2014-10-24,2014-12-15,,13,HAMPDEN,CHICOPEE,MA,25,N,S,149493248,2,D
01020,C027,1140,4340000,85,,MARY,,ST,,,N,N,N,,,N,N,,,C,0,N,A,85,8,2014-07-18,2014-12-15,,13,HAMPDEN,CHICOPEE,MA,25,N,S,95564032,1,D
01020,C028,3726,980000,347,,FULLER,,RD,,,Y,N,N,,,N,N,,,C,0,N,A,47,8,2014-11-28,2014-12-15,,13,HAMPDEN,CHICOPEE,MA,25,N,S,95601150,1,A
01020,C028,2741,3740000,53,,CENTRAL,,AVE,,,N,N,N,,,N,N,,,C,0,N,A,53,5,2014-11-28,2014-12-15,,13,HAMPDEN,CHICOPEE,MA,25,N,S,95566085,1,D
01020,C029,4630,2350000,1080,,BURNETT,,RD,,,N,N,N,,,N,N,,,C,0,N,A,80,6,2014-08-29,2014-12-15,,13,HAMPDEN,CHICOPEE,MA,25,N,S,95567055,1,A
01020,C044,4330,120000,265,,NEW LUDLOW,,RD,APT,A1,N,N,N,,,N,N,,,C,0,N,A,11,5,2014-09-26,2014-12-15,,13,HAMPDEN,CHICOPEE,MA,25,N,H,95604821,2,C
01020,C046,3235,3850000,37,,THEROUX,,DR,APT,F,N,N,N,,,N,N,,,C,0,N,A,78,9,2014-07-18,2014-12-15,,13,HAMPDEN,CHICOPEE,MA,25,N,H,95593473,2,C
01020,C048,4365,1060000,2063,,MEMORIAL,,DR,APT,16,N,N,N,,,N,N,,,C,0,N,A,16,2,2014-07-18,2014-12-15,,13,HAMPDEN,CHICOPEE,MA,25,N,H,95596083,2,B
01020,C061,2984,700000,929,,MEMORIAL,,DR,APT,225,N,N,N,,,N,N,,,C,0,N,A,50,9,2014-07-18,2014-12-15,,13,HAMPDEN,CHICOPEE,MA,25,N,H,95552391,2,C
01026,R011,9602,2810000,382,,DINGLE,,RD,,,N,N,N,,,N,N,,,C,0,N,A,82,4,2014-11-28,2014-12-15,,15,HAMPSHIRE,CUMMINGTON,MA,25,N,S,160338917,1,A
01027,B003,0192,120000,192,,PO BOX,,,,,N,N,N,,,N,N,,,C,0,N,A,92,7,2014-11-28,2014-12-15,,15,HAMPSHIRE,EASTHAMPTON,MA,25,N,P,56297394,9,E
01027,B010,5131,930000,1131,,PO BOX,,,,,N,N,N,,,N,N,,,C,0,N,A,31,6,2014-11-21,2014-12-15,,15,HAMPSHIRE,EASTHAMPTON,MA,25,N,P,56298967,9,E
01027,C002,2524,770000,9,,HENDRICK,,ST,,,N,N,N,,,N,N,,,C,0,N,A,9,8,2014-10-17,2014-12-15,,15,HAMPSHIRE,EASTHAMPTON,MA,25,N,S,95754591,1,A
01027,C010,1008,5050000,58,,FLORENCE,,RD,,,N,N,N,,,N,N,,,C,0,N,A,58,8,2014-11-14,2014-12-15,,15,HAMPSHIRE,EASTHAMPTON,MA,25,N,S,95758068,1,A
01027,C027,1741,3030000,42,,BRIGGS,,ST,APT,2,N,N,N,,,N,N,,,C,0,N,A,42,1,2014-10-10,2014-12-15,,15,HAMPSHIRE,EASTHAMPTON,MA,25,N,S,95742872,2,D
01027,R003,9711,3720000,16,,ASHLEY,,CIR,,,N,N,N,,,N,N,,,C,0,N,A,16,5,2014-11-07,2014-12-15,,15,HAMPSHIRE,EASTHAMPTON,MA,25,N,S,95772646,1,A
01028,B011,0975,250000,975,,PO BOX,,,,,N,N,N,,,N,N,,,C,0,N,B,75,6,2014-11-28,2014-12-15,,13,HAMPDEN,EAST LONGMEADOW,MA,25,N,P,56314256,9,E
01028,C002,1116,3510000,27,,MARYLAND,,ST,,,N,N,N,,,N,N,,,C,0,N,A,27,1,2014-11-14,2014-12-15,,13,HAMPDEN,EAST LONGMEADOW,MA,25,N,S,146420091,1,A
01028,C003,2251,3040000,37,,CEDAR HILL,,RD,,,N,N,N,,,N,N,,,C,0,N,A,37,9,2014-07-18,2014-12-15,,13,HAMPDEN,EAST LONGMEADOW,MA,25,N,S,124414089,1,A
01028,C005,1811,1220000,600,N,MAIN,,ST,APT,B,N,N,N,,,N,N,,,C,0,N,A,0,8,2014-07-18,2014-12-15,,13,HAMPDEN,EAST LONGMEADOW,MA,25,N,S,149090751,2,D
01028,R002,2878,650000,50,,BENTON,,DR,APT,229,N,N,N,,,N,N,,,C,0,N,A,54,5,2014-11-14,2014-12-15,,13,HAMPDEN,EAST LONGMEADOW,MA,25,N,H,138365972,2,B
01029,B003,0385,1370000,385,,PO BOX,,,,,N,N,N,,,N,N,,,C,0,N,A,85,9,2014-11-28,2014-12-15,,3,BERKSHIRE,EAST OTIS,MA,25,Y,P,56320909,9,E
01029,B005,0854,740000,854,,PO BOX,,,,,N,N,N,,,N,N,,,C,0,N,A,54,2,2014-11-14,2014-12-15,,3,BERKSHIRE,EAST OTIS,MA,25,Y,P,56321286,9,E
01029,B008,4032,300000,4032,,PO BOX,,,,,N,N,N,,,N,N,,,C,0,N,A,32,4,2014-11-21,2014-12-15,,3,BERKSHIRE,EAST OTIS,MA,25,Y,P,56321880,9,E
01030,B004,0326,380000,326,,PO BOX,,,,,Y,N,N,,,N,N,,,C,0,N,A,26,7,2014-11-21,2014-12-15,,13,HAMPDEN,FEEDING HILLS,MA,25,N,P,56430334,9,E
01030,C003,2317,210000,29,,LINE,,ST,,,N,N,N,,,N,N,,,C,0,N,A,29,2,2014-10-17,2014-12-15,,13,HAMPDEN,FEEDING HILLS,MA,25,N,S,69693024,1,A
01030,C003,2164,710000,775,,SPRINGFIELD,,ST,APT,1D,N,N,N,,,N,N,,,C,0,N,A,14,8,2014-10-17,2014-12-15,,13,HAMPDEN,FEEDING HILLS,MA,25,N,H,69692750,2,B
